Date,Close/Last,Volume,Open,High,Low
08/26/2020,1.221,2,1.251,1.251,1.23
08/25/2020,1.2295,N/A,1.2295,1.2295,1.2295
08/24/2020,1.2015,N/A,1.2015,1.2015,1.2015
08/21/2020,1.198,N/A,1.198,1.198,1.198
08/20/2020,1.1855,N/A,1.1855,1.1855,1.1855
08/19/2020,1.1845,N/A,1.1845,1.1845,1.1845
08/18/2020,1.193,N/A,1.193,1.193,1.193
08/17/2020,1.1555,N/A,1.1555,1.1555,1.1555
08/14/2020,1.147,N/A,1.147,1.147,1.147
08/13/2020,1.162,N/A,1.162,1.162,1.162
08/12/2020,1.1205,N/A,1.1205,1.1205,1.1205
08/11/2020,1.1135,N/A,1.1135,1.1135,1.1135
08/10/2020,1.126,N/A,1.126,1.126,1.126
08/07/2020,1.1545,N/A,1.1545,1.1545,1.1545
08/06/2020,1.17,N/A,1.17,1.17,1.17
08/05/2020,1.2155,N/A,1.2155,1.2155,1.2155
08/04/2020,1.2105,N/A,1.2105,1.2105,1.2105
08/03/2020,1.179,N/A,1.179,1.179,1.179
07/31/2020,1.1895,N/A,1.1895,1.1895,1.1895
07/30/2020,1.1535,N/A,1.1535,1.1535,1.1535
07/29/2020,1.116,N/A,1.116,1.116,1.116
07/28/2020,1.0965,N/A,1.0965,1.0965,1.0965
07/27/2020,1.104,N/A,1.104,1.104,1.104
07/24/2020,1.084,N/A,1.084,1.084,1.084
07/23/2020,1.075,N/A,1.075,1.075,1.075
07/22/2020,1.0835,N/A,1.0835,1.0835,1.0835
07/21/2020,1.0175,N/A,1.0175,1.0175,1.0175
07/20/2020,0.9975,N/A,0.9975,0.9975,0.9975
07/17/2020,1.023,N/A,1.023,1.023,1.023
07/16/2020,0.9835,N/A,0.9835,0.9835,0.9835
07/15/2020,0.972,N/A,0.972,0.972,0.972
07/14/2020,0.9795,N/A,0.9795,0.9795,0.9795
07/13/2020,0.9865,N/A,0.9865,0.9865,0.9865
07/10/2020,0.974,N/A,0.974,0.974,0.974
07/09/2020,0.9875,N/A,0.9875,0.9875,0.9875
07/08/2020,1,N/A,1,1,1
07/07/2020,1.003,N/A,1.003,1.003,1.003
07/06/2020,0.9815,N/A,0.9815,0.9815,0.9815
07/02/2020,1.032,N/A,1.032,1.032,1.032
07/01/2020,1.04,N/A,1.04,1.04,1.04
06/30/2020,1.01,N/A,1.01,1.01,1.01
06/29/2020,1.001,N/A,1.001,1.001,1.001
06/26/2020,0.9665,N/A,0.9665,0.9665,0.9665
06/25/2020,0.958,N/A,0.958,0.958,0.958
06/24/2020,0.978,N/A,0.978,0.978,0.978
06/23/2020,0.982,N/A,0.982,0.982,0.982
06/22/2020,0.98,N/A,0.98,0.98,0.98
